0.00000	17.84535
0.00002	17.45905
0.00004	20.00990
0.00006	21.60416
0.00008	21.75359
0.00010	19.45198
0.00012	16.33604
0.00014	15.26520
0.00016	16.09362
0.00018	18.10621
0.00020	21.16055
0.00022	24.08607
0.00024	26.25227
0.00026	27.47673
0.00028	27.65503
0.00030	27.29924
0.00032	26.94685
0.00034	28.55971
0.00036	30.24357
0.00038	27.83423
0.00040	27.65503
0.00042	31.80200
0.00044	36.18126
0.00046	38.42045
0.00048	36.62092
0.00050	35.31396
0.00052	33.83407
0.00054	33.62659
0.00056	34.67386
0.00058	34.67386
0.00060	33.00988
0.00062	30.82109
0.00064	29.11299
0.00066	29.48627
0.00068	30.82109
0.00070	31.80200
0.00072	31.60390
0.00074	31.21074
0.00076	31.80200
0.00078	32.00095
0.00080	29.86317
0.00082	26.59784
0.00084	24.90288
0.00086	26.08065
0.00088	29.48627
0.00090	32.60344
0.00092	33.83407
0.00094	34.67386
0.00096	35.09949
0.00098	33.83407
0.00100	32.80615
0.00102	32.80615
0.00104	33.00988
0.00106	32.80615
0.00108	31.60390
0.00110	28.37703
0.00112	26.77197
0.00114	29.29921
0.00116	32.80615
0.00118	34.88618
0.00120	36.40054
0.00122	36.40054
0.00124	37.51243
0.00126	39.34506
0.00128	42.71571
0.00130	44.22616
0.00132	43.46588
0.00134	41.24510
0.00136	38.88060
0.00138	37.06465
0.00140	36.18126
0.00142	35.31396
0.00144	34.46244
0.00146	33.62659
0.00148	32.40164
0.00150	30.62769
0.00152	29.11299
0.00154	28.37703
0.00156	28.19521
0.00158	28.19521
0.00160	27.47673
0.00162	26.42463
0.00164	24.73792
0.00166	22.35863
0.00168	19.59036
0.00170	16.82860
0.00172	14.69221
0.00174	13.91557
0.00176	14.46729
0.00178	17.20488
0.00180	21.30767
0.00182	24.73792
0.00184	27.12258
0.00186	30.43518
0.00188	33.62659
0.00190	34.88618
0.00192	34.67386
0.00194	34.25200
0.00196	33.42004
0.00198	32.20081
0.00200	31.01543
0.00202	30.05292
0.00204	29.48627
0.00206	29.48627
0.00208	29.48627
0.00210	28.19521
0.00212	25.57104
0.00214	22.66573
0.00216	18.90535
0.00218	13.80701
0.00220	9.66821
0.00222	8.52744
0.00224	9.41574
0.00226	9.41574
0.00228	9.92521
0.00230	13.06353
0.00232	19.31431
0.00234	26.08065
0.00236	30.82109
0.00238	33.00988
0.00240	33.21445
0.00242	32.20081
0.00244	31.01543
0.00246	29.67430
0.00248	28.01432
0.00250	26.08065
0.00252	23.76495
0.00254	20.86852
0.00256	17.84535
0.00258	14.69221
0.00260	11.85408
0.00262	9.16767
0.00264	6.51774
0.00266	5.75987
0.00268	8.29514
0.00270	13.06353
0.00272	16.95337
0.00274	18.90535
0.00276	20.15124
0.00278	20.86852
0.00280	21.16055
0.00282	21.60416
0.00284	22.82044
0.00286	24.57376
0.00288	26.59784
0.00290	28.55971
0.00292	30.24357
0.00294	32.20081
0.00296	34.46244
0.00298	36.40054
0.00300	35.96289
0.00302	34.46244
0.00304	33.62659
0.00306	33.83407
0.00308	34.04261
0.00310	33.00988
0.00312	30.05292
0.00314	27.83423
0.00316	28.92767
0.00318	32.20081
0.00320	35.09949
0.00322	35.96289
0.00324	35.74554
0.00326	35.96289
0.00328	35.52926
0.00330	35.09949
0.00332	34.88618
0.00334	34.67386
0.00336	34.67386
0.00338	34.88618
0.00340	35.09949
0.00342	35.52926
0.00344	35.09949
0.00346	33.83407
0.00348	31.21074
0.00350	30.82109
0.00352	32.60344
0.00354	32.80615
0.00356	30.24357
0.00358	29.11299
0.00360	29.86317
0.00362	32.00095
0.00364	35.31396
0.00366	37.28801
0.00368	37.73793
0.00370	37.73793
0.00372	37.51243
0.00374	37.28801
0.00376	37.28801
0.00378	37.73793
0.00380	38.42045
0.00382	39.11237
0.00384	39.81367
0.00386	40.52457
0.00388	41.97549
0.00390	44.73857
0.00392	45.77717
0.00394	43.71813
0.00396	41.73094
0.00398	39.81367
0.00400	40.04959
0.00402	41.97549
0.00404	43.97157
0.00406	43.21478
0.00408	40.52457
0.00410	36.62092
0.00412	34.67386
0.00414	33.62659
0.00416	31.01543
0.00418	27.12258
0.00420	23.92509
0.00422	21.60416
0.00424	21.01414
0.00426	24.24782
0.00428	28.19521
0.00430	28.92767
0.00432	27.12258
0.00434	24.73792
0.00436	22.51176
0.00438	20.57939
0.00440	18.50269
0.00442	16.70448
0.00444	15.61642
0.00446	15.38165
0.00448	15.97338
0.00450	17.07883
0.00452	18.50269
0.00454	20.57939
0.00456	22.51176
0.00458	24.57376
0.00460	27.29924
0.00462	29.67430
0.00464	31.80200
0.00466	32.60344
0.00468	32.20081
0.00470	32.20081
0.00472	32.40164
0.00474	32.80615
0.00476	32.80615
0.00478	31.40684
0.00480	29.67430
0.00482	29.67430
