# Exp data from Nakayama
# y is in inches (airfoil chord=24 inches); to get y/c use y/24
# u is u/Uinf
# v is v/Uinf 
# uu is u'u'/Uinf**2
# vv is v'v'/Uinf**2
# -uv is -u'v'/Uinf**2 (the negative of u'v'/Uinf**2)
variables="index","y","u","v","uu","vv","-uv"
zone, t="x/c=1.20"
     1   -2.8000  0.9880E+00  0.1600E-01  0.0000E+00  0.1000E-04  0.0000E+00
     2   -2.4000  0.9850E+00  0.1500E-01  0.1000E-04  0.2000E-04  0.0000E+00
     3   -2.0000  0.9850E+00  0.1500E-01  0.5000E-04  0.9000E-04 -0.2000E-04
     4   -1.8000  0.9830E+00  0.1500E-01  0.1200E-03  0.1800E-03 -0.6000E-04
     5   -1.6000  0.9790E+00  0.1400E-01  0.2500E-03  0.3700E-03 -0.1200E-03
     6   -1.4000  0.9690E+00  0.1400E-01  0.4400E-03  0.5900E-03 -0.2100E-03
     7   -1.2000  0.9570E+00  0.1300E-01  0.6500E-03  0.8100E-03 -0.3100E-03
     8   -1.0000  0.9430E+00  0.1600E-01  0.8500E-03  0.1000E-02 -0.3800E-03
     9   -0.8000  0.9270E+00  0.1300E-01  0.9300E-03  0.1140E-02 -0.4000E-03
    10   -0.6000  0.9130E+00  0.1400E-01  0.8800E-03  0.1210E-02 -0.3200E-03
    11   -0.4000  0.9070E+00  0.8000E-02  0.8300E-03  0.1190E-02 -0.1900E-03
    12   -0.3000  0.9030E+00  0.1000E-01  0.8100E-03  0.1170E-02 -0.8000E-04
    13   -0.2000  0.9020E+00  0.8000E-02  0.8000E-03  0.1140E-02  0.1000E-04
    14   -0.1000  0.9030E+00  0.8000E-02  0.8300E-03  0.1140E-02  0.9000E-04
    15    0.0000  0.9060E+00  0.8000E-02  0.8600E-03  0.1120E-02  0.1700E-03
    16    0.1000  0.9090E+00  0.8000E-02  0.8900E-03  0.1100E-02  0.2500E-03
    17    0.2000  0.9150E+00  0.7000E-02  0.9400E-03  0.1090E-02  0.3100E-03
    18    0.4000  0.9320E+00  0.7000E-02  0.9400E-03  0.1020E-02  0.3400E-03
    19    0.5000  0.9480E+00  0.7000E-02  0.8300E-03  0.9000E-03  0.3300E-03
    20    0.6000  0.9450E+00  0.5000E-02  0.8300E-03  0.8800E-03  0.3300E-03
    21    0.8000  0.9570E+00  0.4000E-02  0.6200E-03  0.6600E-03  0.2600E-03
    22    1.0000  0.9670E+00  0.6000E-02  0.3800E-03  0.4500E-03  0.1600E-03
    23    1.2000  0.9740E+00  0.6000E-02  0.2100E-03  0.2900E-03  0.9000E-04
    24    1.4000  0.9790E+00  0.6000E-02  0.9000E-04  0.1500E-03  0.3000E-04
    25    1.6000  0.9800E+00  0.5000E-02  0.5000E-04  0.7000E-04  0.1000E-04
    26    1.8000  0.9820E+00  0.6000E-02  0.2000E-04  0.4000E-04  0.0000E+00
    27    2.0000  0.9840E+00  0.6000E-02  0.1000E-04  0.2000E-04  0.0000E+00
    28    2.4000  0.9840E+00  0.4000E-02  0.0000E+00  0.1000E-04  0.0000E+00
