3.3	0.1286
4.2	0.2210
5	0.3285
6	0.4379
6.8	0.5360
7.6	0.6359
8.6	0.7321
9.4	0.8189
10.2	0.8981
11	0.9604
12	1.0095
12.7	1.0134
13.5	0.8590
14.3	0.7084
15	0.7179
15.9	0.7011
16.6	0.7144
