0,0,743.4617,-0.241914,-0.1232654,-0.3656133,0,0.6177603,0,0.6278349,-0.3715886,0.4922679,0.2376511,0.252257,0.5960794,-0.2389281,-0.3582052,0.2414388,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
1,10,743.4617,0.7255301,-0.7395902,-8.026557E-07,-0.8446763,-0.2471052,-0.6385856,-0.2512063,-0.247726,0.1230664,0,0.7567711,0.1192152,0.2389265,-0.597008,0.7243133,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
2,20,744.0648,-0.1209313,0.4930601,-0.7312257,0.120668,-1.111971,-0.2554341,-0.5023605,-0.3715886,-0.2461344,0,-0.3783855,0.2384313,0.3583906,0.1194023,-0.362155,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
3,30,743.4617,0.362794,-0.4930601,0.3656113,-0.3620041,0.4942083,-1.149454,-0.1256285,-0.6193147,-0.2461344,0.1188251,0.504514,0.2384313,0.4778546,0,0.9657505,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
4,40,744.1854,-0.3627875,0.6163256,-0.8530958,0.9653444,-0.4942096,-0.1277172,-0.8790926,-0.3715886,-0.6153359,-0.5941281,0.1261285,0.1192152,-0.4778546,0.2388037,0.3621566,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
5,50,743.8235,-0.1209313,-0.6163256,0.2437416,-0.8446763,0.8648651,-0.3831513,-0.3767834,-0.6193147,-0.3692015,-0.1188259,-0.252257,-0.119216,-0.1194641,0.3582052,-0.2414372,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
6,60,743.3411,0.2418626,0.1232654,-0.1218712,1.448017,-0.2471052,0.1277172,-0.8790926,-0.123863,-0.9845371,-0.2376511,-0.252257,-0.2384321,-1.075175,0.5970089,0,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
7,70,743.9442,-0.3627875,0,0.4874833,0,0.370656,-0.3831513,-5.136996E-05,-0.4954517,0,-1.06943,-0.504514,-0.5960802,-0.3583922,0.3582052,0.7243133,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
8,80,743.8235,0.1209313,0,0.1218704,0.6033402,-8.026557E-07,0.1277172,-0.5023091,0.123863,-0.6153359,0.4753022,-0.504514,-0.4768642,-0.5973187,0.4776066,0.4828761,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
9,90,744.4266,-0.2418626,-0.1232654,0.4874833,0,0.4942083,0.2554343,0.2511542,-0.247726,1.23067,-0.5941281,0.1261285,-0.4768642,-0.4778546,0.4776066,-0.1207178,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
10,100,744.1854,0.6046501,0.2465301,0.731225,0.2413361,0.4942083,0.5108687,-0.5023091,0.4954517,-0.123068,0.9506044,-0.1261285,0.3576473,-0.4778546,0.2388037,0.6035939,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
11,110,744.1854,-0.3627875,0.1232654,0,0.3620041,-0.1235528,-0.2554341,0.1255771,0,0.2461336,-0.3564771,0.8828996,-0.7152954,0.1194641,-0.1194015,-0.2414372,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
12,120,743.4617,0.4837252,0.7395902,0.731225,0.2413361,0.8648651,0.3831515,0,0,-0.3692015,0.5941281,-0.3783855,0.5960794,-1.194637,-0.3582052,0.3621566,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
13,130,743.8235,-0.1209313,0.1232654,-0.4874833,0.6033402,0.247104,0.2554343,-0.3767321,0,0,-0.5941281,0.630643,-0.5960802,0.5973187,-0.2388037,-1.086467,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
14,140,743.5823,-0.1209313,-0.3697955,0.2437416,0.3620041,0.370656,-0.3831513,0.1255771,0.4954517,0.1230664,0,0.3783855,0.1192152,0.1194641,-0.2388037,0.2414388,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
15,150,743.4617,-0.4837188,-0.2465301,-0.4874833,0.120668,-0.1235528,-0.1277172,0,-0.123863,-0.2461344,0.2376511,0,0,-0.1194641,-0.4776066,-0.362155,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
16,160,743.4617,-0.4837188,-0.9861203,-0.4874833,-0.3620041,0.247104,-0.2554341,0.3767321,-0.123863,0.1230664,-0.1188259,0.3783855,0,-0.1194641,0.5970089,0.1207194,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
17,170,744.0648,-0.1209313,-0.7395902,-0.8530958,-0.2413361,-0.1235528,0,-0.1255771,-0.123863,-0.3692015,0,0.1261285,0.2384313,0.3583906,-0.7164099,-0.2414372,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
18,180,743.9442,0,-0.8628557,-0.1218712,-0.3620041,-0.1235528,-0.5108685,-0.3767321,0.3715886,0.7384023,0.1188251,0.252257,0.1192152,0,0.3582052,0.3621566,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
19,190,743.9442,0.1209313,-0.2465301,-0.3656125,0,-0.6177619,0.1277172,-0.1255771,-0.3715886,-0.7384031,-0.2376511,0.1261285,0.5960794,-0.3583922,0.4776066,-0.6035923,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
20,200,743.9442,0.362794,-0.3697955,0.8530946,-0.6033402,0.370656,-0.7663028,-0.3767321,-0.247726,0,0.1188251,-0.1261285,-0.119216,0.3583906,0.5970089,1.086468,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
21,210,743.7029,0,0.1232654,-0.4874841,0.7240083,-0.6177619,0,-1.130196,-0.247726,-0.8614699,-1.06943,0.1261285,0,-0.5973187,0.4776066,0.7243133,26,26,27,26,26,26,27,26,27,27,27,27,27,27,27,27
