0,0,180.3055,0.3627683,0.1232654,-0.4874636,1.086025,-1.111964,0.5108687,-0.7534617,-0.247726,-0.4922687,-0.4753022,0,-0.2384321,-0.4778546,0.955214,-0.1207178,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
1,10,180.3055,0.1209056,-0.2465301,0.3656321,-0.1206552,0.4942144,-1.277171,-0.1255755,-0.4954517,-0.6153359,-0.1188259,0,0.1192152,-0.1194641,0,0.3621566,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
2,20,180.5464,-2.568498E-05,0.2465301,-0.7312049,0.8446891,-0.9884118,-0.6385856,-0.7534617,-0.247726,-0.9845371,-1.06943,-0.252257,0.3576473,-0.1194641,0.4776066,-0.2414372,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
3,30,179.9441,0.7255558,-0.4930601,0.8531146,-0.3619913,-0.1235464,-0.3831513,0.1255795,0,-0.4922687,0,0.3783855,0,0.7167827,0,0.4828761,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
4,40,180.0646,-0.2418819,0.1232654,-0.7312049,0.482685,-0.4942031,-0.3831513,-1.130194,-0.123863,-0.7384031,-0.2376511,0.252257,-0.2384321,0.2389265,0.3582052,-0.1207178,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
5,50,180.0646,0.1209056,-0.6163256,0.4875025,-0.4826593,0.24711,-0.2554341,-0.3767297,-0.123863,0.3692007,0.1188251,0.1261285,-0.119216,0.3583906,0.2388037,0.9657505,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
6,60,180.0646,-0.8465385,0.2465301,-0.7312049,0.7240211,-0.7418602,0.1277172,-0.6278839,-0.3715886,-0.3692015,0,-0.1261285,0.2384313,-0.3583922,0,0.4828761,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
7,70,179.5828,0.3627683,-0.6163256,0.3656321,-0.6033274,0.2463804,-1.149454,-0.7534617,-0.3715886,-0.8614699,-0.1188259,-0.1261285,-0.4768642,-0.1194641,0.2388037,0.6035939,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
8,80,179.9441,-0.2418819,-0.2465301,-0.3655928,0.362017,-0.61833,-0.1277172,-0.2511526,-0.123863,-0.3692015,-0.2376511,0.504514,0.4768634,-0.3583922,0.4776066,0.3621566,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
9,90,180.4259,0.8464871,-1.479181,1.926374E-05,1.284249E-05,0.1228505,-0.3831513,2.407967E-06,0,0.1230664,0,-0.1261285,0.2384313,0.8362468,0.4776066,0.3621566,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
10,100,180.4259,-2.568498E-05,0,-0.8530757,0.8446891,-0.8653902,-0.1277172,-0.7534617,-0.123863,-0.2461344,0,-0.8829,0.1192152,0,0.2388037,-0.1207178,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
11,110,179.7032,0.3627683,-0.3697955,0.2437609,-0.6033274,0.4934406,-0.3831513,-0.1255755,-0.123863,-0.7384031,-1.06943,0.1261285,0.2384313,0.3583906,0.1194023,0.3621566,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
12,120,180.7872,-0.3628132,-0.3697955,-0.7312049,0.7240211,-0.61833,0,-1.004616,-0.6193147,-0.8614699,-0.2376511,0.252257,0.5960794,-0.2389281,0.7164103,0.7243133,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
13,130,180.3055,0.241837,-1.109386,0.6093738,-0.3619913,0.3699107,-0.89402,-0.5023068,-0.6193147,0,-0.3564771,0.1261285,-0.3576481,0.1194641,0,0.8450311,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
14,140,180.185,-0.1209506,0.7395902,-1.828042,-0.1206552,-0.7418602,-0.5108685,-1.004616,-0.8670403,-0.6153359,-0.3564771,-0.1261285,0.1192152,-0.2389281,0.5970089,0.4828761,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
15,150,179.8237,0.7255558,-0.7395902,0.4875025,0.2413489,-0.1242098,-1.149454,-0.5023068,-0.123863,-0.3692015,-0.4753022,-0.3783855,-0.2384321,-0.1194641,0,0.8450311,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
16,160,179.8237,-2.568498E-05,0.4930601,-0.6093345,0.7240211,-0.8653902,-0.2554341,-0.8790388,-0.3715886,-0.7384031,-0.3564771,-0.1261285,0,-0.1194641,0.4776066,-0.2414372,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
17,170,179.8237,0.3627683,-0.6163256,0.6093738,-0.2413232,0.3699107,-0.6385856,-0.2511526,-0.247726,-0.2461344,-0.3564771,0.1261285,-0.5960802,0.4778546,0.3582052,0.4828761,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
18,180,180.4259,-2.568498E-05,0.6163256,-0.6093345,0.9653572,-0.61833,-0.6385856,-0.7534617,-0.123863,-0.6153359,0.4753022,0.3783855,0.4768634,0.3583906,0.4776066,0.4828761,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
19,190,180.185,0.4836996,-0.1232654,0.6093738,-0.4826593,0.4934406,-0.5108685,-0.5023068,-0.7431773,-0.2461344,-0.3564771,-0.3783855,-0.4768642,0.5973187,0.4776066,0.2414388,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
20,200,180.0646,0.241837,0.1232654,-0.2437224,0.362017,-0.4947999,-0.2554341,-0.6278839,-0.9909033,-0.7384031,-0.4753022,-0.1261285,0.3576473,-0.3583922,-0.1194015,0.1207194,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
21,210,180.185,0.241837,-0.6163256,-0.2437224,0.1206809,0.1228505,0.1277172,-0.1255755,-0.247726,-0.3692015,-0.3564771,0.3783855,0.3576473,0.5973187,0.2388037,1.086468,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
22,220,180.3055,-0.1209506,0.8628557,-0.2437224,-0.1206552,-0.4942031,0.1277172,-0.3767297,-0.4954517,-0.8614699,-0.3564771,-0.3783855,-0.4768642,-0.7167827,0.5970089,-0.362155,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
23,230,180.0646,0.3627683,0,0.1218905,0.362017,0.4942144,-1.021737,-0.5023068,-0.3715886,-0.4922687,-0.4753022,-0.3783855,-0.5960802,0.1194641,0,0.7243133,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
24,240,180.3055,-0.1209506,0.1232654,-0.7312049,1.086025,-0.3706507,0,-0.7534617,-0.7431773,-0.6153359,-0.2376511,-0.1261285,-0.7152954,-0.4778546,0.2388037,-0.362155,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
25,250,179.9442,0.6046309,-0.4930601,0.4875025,1.284249E-05,0.123558,-0.7663028,-0.5023068,-0.7431773,-0.2461344,-0.7129533,-0.1261285,-0.5960802,-0.1194641,0.2388037,0.3621566,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
26,260,180.0646,-2.568498E-05,0.7395902,-0.6093345,0.362017,-0.6177553,-0.1277172,-1.506925,-0.8670403,-0.7384031,-0.4753022,-0.252257,0.2384313,-0.2389281,0.7164103,-0.1207178,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
27,270,180.4259,0.4836996,-0.1232654,0.2437609,-0.2413232,0.24711,-0.2554341,0.2511566,-0.3715886,-0.123068,-0.1188259,-0.7567714,-0.8345115,-0.3583922,0.3582052,0.2414388,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
28,280,179.2215,-0.3628132,0.6163256,-0.1218512,0.482685,-1.111964,-0.3831513,-0.7534617,-0.7431773,-1.107604,-0.3564771,0.1261285,-0.3576481,-0.7167827,0.4776066,-0.362155,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
29,290,180.3055,0.3627683,0.2465301,0.8531146,0.1206809,0.4942144,-0.2554341,-0.3767297,-0.123863,-0.7384031,-0.9506044,0.3783855,-0.3576481,-0.2389281,0,0.7243133,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
30,300,180.7873,-2.568498E-05,0,1.926374E-05,0.482685,-0.7413075,0.6385858,-0.8790388,0,-0.6153359,-0.1188259,-1.009028,-0.7152954,-1.075175,0,0,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
31,310,180.5464,-0.1209506,0.2465301,0.1218905,-0.3619913,0.6177667,0,0.2511566,-0.7431773,0.2461336,-0.7129533,0.3783855,-0.2384321,-0.7167827,0.955214,-0.2414372,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
32,320,180.185,-0.3628132,0,0.2437609,1.448029,-0.2470986,0.1277172,-0.1255755,0.247726,-0.9845371,-0.4753022,-0.504514,-1.072944,-0.5973187,-0.3582052,-0.362155,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
33,330,180.7873,0.3627683,0,0.1218905,-0.1206552,0.4942144,-0.2554341,0.3767345,-0.247726,-0.123068,-0.7129533,0.1261285,-0.9537275,-0.5973187,0.2388037,0,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
34,340,180.5464,0.241837,0.1232654,1.926374E-05,0.6033531,-0.1235464,0.3831515,-0.1255755,0.7431773,-0.9845371,-0.2376511,-0.630643,-0.5960802,-0.9557109,-0.2388037,-0.4828745,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
35,350,180.5464,0.241837,0.3697955,-0.1218512,1.284249E-05,0.8648711,0,-0.2511526,-0.8670403,0,-1.188256,0.1261285,-0.3576481,-0.2389281,-0.3582052,-0.6035923,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
36,360,180.0646,0.6046309,0.1232654,-0.2437224,0.482685,-0.3706507,0.1277172,-0.8790388,0.247726,-0.7384031,0.4753022,-0.7567714,-0.8345115,-0.5973187,-0.3582052,-0.6035923,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
37,370,180.5464,0.241837,0,0.3656321,0.362017,0.8648711,-0.5108685,2.407967E-06,-0.247726,-0.123068,-0.7129533,0,-0.7152954,-0.2389281,0,-0.1207178,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
38,380,180.5464,0.3627683,0.1232654,-0.1218512,0.6033531,-0.4942031,0.5108687,-0.1255755,0,-0.7384031,-0.2376511,0,0.3576473,-1.314101,-0.3582052,-0.7243116,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
39,390,180.4259,0.4836996,0,-0.1218512,0.362017,0.3706624,-0.2554341,2.407967E-06,-0.7431773,0.2461336,-1.307081,0.252257,-0.7152954,0,0,-0.4828745,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
40,400,180.0646,0.1209056,-0.2465301,-0.2437224,0.7240211,-0.1235464,0.3831515,-0.2514062,-0.123863,-1.230671,0.4753022,-0.1261285,-0.3576481,-1.075175,-0.3582052,0,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
41,410,180.0646,-2.568498E-05,-0.2465301,0.1218905,0.362017,0.6177667,-0.3831513,0.2508114,0,0.2461336,-1.188256,-0.630643,-0.4768642,-0.8362468,0.1194023,-0.1207178,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
42,420,180.185,0.3627683,0.3697955,-0.2437224,0.9653572,-0.8648597,0,-0.5025154,0.4954517,-0.3692015,-0.4753022,-0.3783855,0.1192152,-0.8362468,-0.8358118,-0.6035923,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
43,430,180.9077,0.1209056,0.1232654,0.4875025,0.7240211,0.24711,-0.6385856,-0.0002977852,-0.6193147,0.4922679,-1.425907,0.252257,-0.7152954,-0.3583922,0,0.1207194,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
44,440,180.3055,0.7255558,-0.3697955,1.926374E-05,0.9653572,0.123558,0.2554343,-0.8791785,0,-1.107604,-0.4753022,-0.1261285,-0.3576481,-0.5973187,-0.1194015,-0.1207178,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
45,450,180.3055,-0.3628132,0,-0.3655928,0.482685,0.4942144,-0.1277172,0.8785837,-0.123863,-0.123068,-0.9506044,0.252257,-0.5960802,0,-0.7164099,-0.2414372,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
46,460,180.0646,0.1209056,0.7395902,-0.3655928,1.327361,-0.1235464,0.5108687,-0.7536238,0.123863,-1.476805,-0.1188259,-0.1261285,-0.3576481,-1.075175,-0.597008,-0.1207178,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
47,470,180.185,0.1209056,0.1232654,1.926374E-05,-0.1206552,-0.1235464,-0.2554341,0.2508114,-0.3715886,-0.123068,-0.3564771,-0.7567714,-0.3576481,-0.4778546,0,0.1207194,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
48,480,180.0646,-0.1209506,-0.1232654,0.2437609,0.7240211,-0.4942031,0.6385858,-0.6280701,0.3715886,-0.8614699,-0.3564771,-0.3783855,-0.2384321,-0.8362468,0.1194023,-0.1207178,26,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27
