0,0,-36.31728,-53.19777,-21.91071,-19.97667,-17.61319,-16.53835,-12.25128,-10.91138,-8.789744,-8.489224,-4.990974,-6.556239,-4.172757,-5.017714,-2.028648,-7.384432E-05,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,-3.497042,-2.503114,-2.095272,-2.714936,111.111,97.20477,-0.9143003,-2.216521,-1.81334,-2.446667,-2.892402,-1.749881,-2.049355,-2.116799,-1.927738,-2.034787,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,0,0,-1.952643,-3.837523,5.369331,-1.934962,-2.32935,-2.040166,-3.234795,-69.66764,0.124711,0.2428643,0.834426,-0.3639305,-0.2202519,0.5555461,0.5532288,3.145434,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
1,10,-35.35528,-52.35145,-19.69561,-16.07974,-15.32043,-12.96,-8.423521,-8.40361,-6.934227,-7.136861,-4.159171,-5.925975,-2.861343,-4.300911,-3.342105,-0.2414757,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,10,-3.09355,-2.37129,-2.095272,-1.93927,113.8719,97.45026,-2.220298,-2.216521,-1.81334,-2.060355,-1.972629,-2.692831,-2.4333,-2.339526,-1.686883,-2.600004,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,1,10,-1.952643,-3.70961,5.75271,-2.450915,-2.976956,-3.441475,-4.657124,-69.5583,-0.122535,0.1218881,2.849428E-05,-0.3639305,0.3300841,0.1109487,-0.6641141,3.262455,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
2,20,-37.03878,-52.23948,-18.95724,-15.10551,-13.51037,-11.60269,-7.147601,-7.651281,-5.944601,-5.660012,-3.327367,-4.035187,-2.146027,-2.508903,-2.148053,-1.448487,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2,20,-2.421064,-2.37129,-1.964323,-2.45638,112.6879,96.71382,-1.175499,-1.69501,-1.554495,-2.060355,-1.578442,-2.423418,-1.665409,-2.116799,-2.289019,-2.713047,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,2,20,-2.52719,-3.325876,4.985952,-2.06395,-2.976956,-1.785383,-2.071071,-68.79289,-0.4934049,-0.9669079,0.1192281,-0.1213808,-0.1101854,0.222098,-0.3321116,2.209319,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
3,30,-38.00078,-50.78838,-19.81867,-15.95796,-15.68245,-11.35591,-8.168336,-7.400505,-6.439424,-5.167729,-4.277999,-4.035187,-2.980562,-2.747837,-1.670433,0.48273,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,3,30,-2.017573,-2.107644,-3.142846,-1.163603,112.1618,96.59104,-1.697899,-1.564633,-2.589879,-1.931585,-2.235422,-2.692831,-2.177337,-1.448614,-2.529873,-2.826093,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,3,30,-2.067551,-3.581699,4.602526,-2.450915,-2.717913,-2.549733,-2.200374,-69.12093,-0.6170279,0.3638406,0.834426,0.6062715,-0.3303185,-0.5559474,-0.0001091612,3.262455,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
4,40,-36.79828,-50.78838,-19.0803,-15.59263,-14.35506,-11.72608,-7.785561,-6.898952,-5.201403,-5.167729,-3.208539,-3.278872,-1.66915,-3.225706,-2.028648,-7.384432E-05,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,4,40,-1.883076,-2.503114,-1.964323,-2.068547,111.5051,97.32754,-1.0449,-1.434256,-1.942764,-2.575438,-2.761004,-2.154004,-2.049355,-2.228163,-2.409446,-2.373918,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,4,40,-2.297371,-4.093346,4.730318,-2.708942,-2.32935,-2.167558,-3.881308,-69.99568,0.2483344,0.4848201,0.9536256,-0.0001059506,-0.000118793,0.5555461,-0.3321116,3.028426,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
5,50,-34.87428,-50.54653,-18.46499,-16.07974,-15.32043,-12.21965,-8.423521,-5.64507,-5.573002,-4.798517,-3.208539,-3.783082,-2.146027,-2.747837,-1.192813,-0.8449813,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,5,50,-1.883076,-2.239467,-1.702426,-2.844213,112.0304,97.81848,-0.9143003,-2.738032,-1.425072,-3.09052,-2.235422,-2.154004,-1.921373,-2.339526,-1.205175,-2.373918,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,5,50,-3.101738,-3.453788,5.62487,-2.579954,-2.588393,-2.677125,-2.458979,-68.90223,0.124711,-1.087884,-0.5959694,0.1211721,-0.000118793,0.6666946,0.1105578,2.092299,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
6,60,-34.63378,-49.21636,-18.46499,-15.34907,-14.11372,-9.629445,-7.275192,-5.018129,-4.210471,-2.952456,-3.327367,-2.018152,-2.503685,-1.672632,-1.073408,-0.3621775,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,6,60,-2.824556,-2.107644,-2.226214,-2.973491,112.8195,98.06397,-1.306099,-1.69501,-2.072187,-2.704208,-2.498214,-2.28871,-2.049355,-2.339526,-1.686883,-1.582612,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,6,60,-2.412282,-2.942142,5.497076,-2.966919,-3.236,-2.804517,-3.234795,-69.12093,0.2483344,-0.3620234,0.3576277,1.212646,0.4401507,-0.0002006639,-0.4427802,3.028426,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
7,70,-32.10852,-48.24896,-16.98826,-14.0095,-13.26902,-9.629445,-6.254457,-5.268906,-3.715005,-3.321669,-2.852051,-1.765888,-1.788369,-2.269968,-1.312218,-0.8449813,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,7,70,-2.690059,-1.97582,-2.226214,-2.327102,112.4248,97.81848,-1.697899,-2.477278,-3.625263,-2.060355,-1.709836,-2.692831,-2.689264,-2.005435,-1.927738,-2.034787,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,7,70,-1.722823,-3.197965,4.985904,-2.966919,-2.458872,-2.677125,-2.846834,-70.43307,-0.122535,0.2428643,0.5960268,0.4849967,-0.000118793,-0.4447981,-0.4427802,2.677377,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
8,80,-29.34277,-48.24896,-16.00378,-13.4006,-11.09695,-9.259204,-5.744089,-5.519681,-3.962738,-3.813952,-2.733222,-3.404924,-2.265246,-2.62837,-1.551028,-0.965683,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,8,80,-1.345087,-2.37129,-2.750001,-1.422157,112.8195,97.57304,-1.0449,-3.129166,-2.719303,-2.575438,-1.709836,-2.962247,-1.153482,-2.45089,-2.048165,-2.600004,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,8,80,-2.52719,-4.860816,4.474731,-2.579954,-2.070308,-2.040166,-2.976137,-69.44897,-0.2461584,-0.2410439,0.2384281,-0.4852054,-0.5504516,0.6666946,0.4425619,2.560362,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
9,90,-29.46302,-47.52341,-16.00378,-13.03526,-10.25224,-7.161173,-4.085393,-4.140412,-3.219539,-2.090962,-2.139077,-1.89202,-1.549931,-1.792099,-1.551028,-0.1207756,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,9,90,-1.883076,-2.634937,-2.619059,-2.327102,112.9511,97.20477,-1.306099,-3.259543,-2.072187,-2.060355,-1.709836,-2.558125,-1.409446,-2.896348,-2.289019,-3.052178,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,9,90,-3.101738,-4.47708,5.880455,-2.450965,-2.976957,-2.804517,-2.200321,-69.12093,0.2483344,0.6057963,0.4768272,0.3637218,0.5502173,0.5555461,-0.4427802,3.262455,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
10,100,-30.78577,-47.16063,-16.61908,-13.15704,-12.18298,-7.531414,-4.978537,-5.018129,-3.343406,-3.075528,-2.852051,-2.270416,-1.788369,-2.747837,-1.789838,0.3620282,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,10,100,-2.824556,-3.030407,-2.488111,-1.551435,112.2932,98.06397,-2.089698,-3.129166,-2.201611,-1.545273,-2.366817,-1.884589,-1.665409,-2.339526,-2.048165,-1.921744,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,10,100,-2.182462,-4.221257,5.241489,-2.966919,-2.847435,-2.040166,-1.812413,-69.12093,0.1247118,-1.087891,0.3576277,-0.0001059506,0.7703504,0.3332474,-0.9961182,2.443348,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
11,110,-28.62127,-46.67693,-15.51153,-14.0095,-13.26902,-8.888964,-5.106129,-4.015023,-3.219539,-3.56781,-1.426103,-3.026767,-1.311491,-2.62837,-1.670433,0.1206263,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,11,110,-2.959053,-2.37129,-2.357162,-2.714936,112.8195,97.69576,-2.350898,-1.69501,-1.425072,-1.802814,-1.972629,-2.154004,-2.817246,-2.562253,-1.80731,-2.373918,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,11,110,-2.067551,-4.349169,4.346939,-2.966919,-2.847435,-2.167558,-1.1659,-69.12093,-0.740651,0.7267694,0.834426,-0.1213808,-0.2202519,-0.3336487,-0.1107761,3.613498,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
