Results Table 1
,Maximum Load
,(lbf)
"1","980.72"

Time,Elongation,Load
(s),(in),(lbf)
"3.2200","0.0171","78.5954"
"3.2400","0.0171","79.3714"
"3.2600","0.0172","80.0907"
"3.2800","0.0173","80.8334"
"3.3000","0.0173","81.6520"
"3.3200","0.0174","82.5357"
"3.3400","0.0175","83.4076"
"3.3600","0.0175","84.2311"
"3.3800","0.0176","85.0336"
"3.4000","0.0177","85.8296"
"3.4200","0.0177","86.6638"
"3.4400","0.0178","87.5534"
"3.4600","0.0179","88.4383"
"3.4800","0.0179","89.3122"
"3.5000","0.0180","90.1631"
"3.5200","0.0181","90.9747"
"3.5400","0.0181","91.7934"
"3.5600","0.0182","92.6463"
"3.5800","0.0183","93.5543"
"3.6000","0.0183","94.4584"
"3.6200","0.0184","95.3573"
"3.6400","0.0185","96.2519"
"3.6600","0.0185","97.1366"
"3.6800","0.0186","97.9957"
"3.7000","0.0187","98.8918"
"3.7200","0.0187","99.8294"
"3.7400","0.0188","100.7679"
"3.7600","0.0189","101.7053"
"3.7800","0.0189","102.5845"
"3.8000","0.0190","103.4217"
"3.8200","0.0191","104.3131"
"3.8400","0.0191","105.2775"
"3.8600","0.0192","106.2528"
"3.8800","0.0193","107.2012"
"3.9000","0.0193","108.1163"
"3.9200","0.0194","109.0213"
"3.9400","0.0195","109.9048"
"3.9600","0.0195","110.8065"
"3.9800","0.0196","111.7789"
"4.0000","0.0197","112.7550"
"4.0200","0.0197","113.6839"
"4.0400","0.0198","114.6256"
"4.0600","0.0199","115.5430"
"4.0800","0.0199","116.4806"
"4.1000","0.0200","117.4324"
"4.1200","0.0201","118.4295"
"4.1400","0.0201","119.4096"
"4.1600","0.0202","120.4019"
"4.1800","0.0203","121.3936"
"4.2000","0.0203","122.2882"
"4.2200","0.0204","123.1855"
"4.2400","0.0205","124.1640"
"4.2600","0.0205","125.1856"
"4.2800","0.0206","126.2107"
"4.3000","0.0207","127.1891"
"4.3200","0.0207","128.1079"
"4.3400","0.0208","129.0217"
"4.3600","0.0209","129.9828"
"4.3800","0.0209","131.0474"
"4.4000","0.0210","132.1192"
"4.4200","0.0211","133.1217"
"4.4400","0.0211","134.0677"
"4.4600","0.0212","134.9845"
"4.4800","0.0213","135.9163"
"4.5000","0.0213","136.8954"
"4.5200","0.0214","137.9587"
"4.5400","0.0215","139.0286"
"4.5600","0.0215","140.0443"
"4.5800","0.0216","141.0207"
"4.6000","0.0217","141.9768"
"4.6200","0.0217","142.9288"
"4.6400","0.0218","143.9093"
"4.6600","0.0219","144.9480"
"4.6800","0.0219","145.9846"
"4.7000","0.0220","147.0298"
"4.7200","0.0221","148.0595"
"4.7400","0.0221","148.9995"
"4.7600","0.0222","149.8908"
"4.7800","0.0223","150.8983"
"4.8000","0.0223","152.0084"
"4.8200","0.0224","153.0845"
"4.8400","0.0225","154.0744"
"4.8600","0.0225","155.0104"
"4.8800","0.0226","155.9342"
"4.9000","0.0227","156.9181"
"4.9200","0.0227","157.9927"
"4.9400","0.0228","159.0534"
"4.9600","0.0229","160.0610"
"4.9800","0.0229","161.0671"
"5.0000","0.0230","162.0541"
"5.0200","0.0231","163.0368"
"5.0400","0.0231","164.0112"
"5.0600","0.0232","165.0705"
"5.0800","0.0233","166.1821"
"5.1000","0.0233","167.2795"
"5.1200","0.0234","168.3488"
"5.1400","0.0235","169.3251"
"5.1600","0.0235","170.2294"
"5.1800","0.0236","171.1442"
"5.2000","0.0237","172.2112"
"5.2200","0.0237","173.3048"
"5.2400","0.0238","174.3671"
"5.2600","0.0239","175.3913"
"5.2800","0.0239","176.3370"
"5.3000","0.0240","177.2677"
"5.3200","0.0241","178.2956"
"5.3400","0.0241","179.4296"
"5.3600","0.0242","180.5079"
"5.3800","0.0243","181.4950"
"5.4000","0.0243","182.4376"
"5.4200","0.0244","183.3823"
"5.4400","0.0245","184.3847"
"5.4600","0.0245","185.4645"
"5.4800","0.0246","186.5608"
"5.5000","0.0247","187.5961"
"5.5200","0.0247","188.6488"
"5.5400","0.0248","189.7006"
"5.5600","0.0249","190.6480"
"5.5800","0.0249","191.5828"
"5.6000","0.0250","192.6425"
"5.6200","0.0251","193.7766"
"5.6400","0.0251","194.9014"
"5.6600","0.0252","195.9739"
"5.6800","0.0253","196.9599"
"5.7000","0.0253","197.8872"
"5.7200","0.0254","198.8987"
"5.7400","0.0255","200.0253"
"5.7600","0.0255","201.1754"
"5.7800","0.0256","202.2753"
"5.8000","0.0257","203.2808"
