"Points:0","Points:1","Points:2","U:0","U:1","U:2","alphaPorosity","arc_length","fvSource:0","fvSource:1","fvSource:2","nuTilda","nut","p"
0.19279729,-0.056940038,0.050000001,0,0,0,0,0.81389674,0,0,0,1e-16,9.6165211e-05,-22.027281
0.17196329,-0.055447001,0.050000001,0,0,0,0,0.83478417,0,0,0,1e-16,9.6115131e-05,-20.557964
0.15116046,-0.053569008,0.050000001,0,0,0,0,0.85567159,0,0,0,1e-16,9.5769516e-05,-18.466042
0.13040288,-0.051243994,0.050000001,0,0,0,0,0.87655898,0,0,0,1e-16,9.5030526e-05,-15.533955
0.10971195,-0.04838787,0.050000001,0,0,0,0,0.8974461,0,0,0,1e-16,9.383024e-05,-11.370599
0.089120969,-0.044884108,0.050000001,0,0,0,0,0.91833306,0,0,0,1e-16,9.2224582e-05,-5.1917782
0.068688519,-0.040553432,0.050000001,0,0,0,0,0.93921941,0,0,0,1e-16,9.029053e-05,3.8578498
0.051046584,-0.035862397,0.050000001,0,0,0,0,0.95747438,0,0,0,1e-16,8.7636916e-05,16.182335
0.036617737,-0.031045349,0.050000001,0,0,0,0,0.97268607,0,0,0,1e-16,8.3331164e-05,32.373081
0.024938621,-0.026117774,0.050000001,0,0,0,0,0.98536214,0,0,0,1e-16,7.605354e-05,54.171177
0.015664188,-0.021062464,0.050000001,0,0,0,0,0.99592487,0,0,0,1e-16,6.3772932e-05,83.833412
0.0085842321,-0.015838042,0.050000001,0,0,0,0,1.0047238,0,0,0,1e-16,4.4785673e-05,117.71196
0.0036199428,-0.010443294,0.050000001,0,0,0,0,1.012055,0,0,0,1e-16,2.4811441e-05,141.17059
0.00081204012,-0.0050188252,0.050000001,0,0,0,0,1.0181631,0,0,0,1e-16,2.7178343e-05,139.75259
-1.0788896e-14,1.2191297e-43,0.050000001,0,0,0,0,1.0232472,0,0,0,1e-16,5.2185038e-05,104.05472
0.00081204012,0.0050188252,0.050000001,0,0,0,0,1.0283313,0,0,0,1e-16,7.8316203e-05,33.132515
0.0036199428,0.010443294,0.050000001,0,0,0,0,1.0344395,0,0,0,1e-16,9.8176461e-05,-50.030483
0.0085842321,0.015838042,0.050000001,0,0,0,0,1.0417707,0,0,0,1e-16,0.0001093419,-112.14098
0.015664188,0.021062464,0.050000001,0,0,0,0,1.0505696,0,0,0,1e-16,0.000113642,-141.20883
0.024938621,0.026117774,0.050000001,0,0,0,0,1.0611323,0,0,0,1e-16,0.00011369285,-147.19623
0.036617737,0.031045349,0.050000001,0,0,0,0,1.0738084,0,0,0,1e-16,0.00011139354,-143.1716
0.051046584,0.035862397,0.050000001,0,0,0,0,1.0890201,0,0,0,1e-16,0.00010814407,-136.31316
0.068688519,0.040553432,0.050000001,0,0,0,0,1.1072751,0,0,0,1e-16,0.00010514881,-128.79927
0.089120969,0.044884108,0.050000001,0,0,0,0,1.1281614,0,0,0,1e-16,0.00010324654,-121.37434
0.10971195,0.04838787,0.050000001,0,0,0,0,1.1490484,0,0,0,1e-16,0.00010241911,-114.52599
0.13040288,0.051243994,0.050000001,0,0,0,0,1.1699355,0,0,0,1e-16,0.00010207749,-108.42697
0.15116046,0.053569008,0.050000001,0,0,0,0,1.1908229,0,0,0,1e-16,0.00010176449,-103.04579
0.17196329,0.055447001,0.050000001,0,0,0,0,1.2117103,0,0,0,1e-16,0.00010132988,-98.209938
0.19279729,0.056940038,0.050000001,0,0,0,0,1.2325977,0,0,0,1e-16,0.00010074733,-93.757866
0.21365274,0.058095541,0.050000001,0,0,0,0,1.2534852,0,0,0,1e-16,0.00010003163,-89.589622
0.23452266,0.058951881,0.050000001,0,0,0,0,1.2743726,0,0,0,1e-16,9.9207056e-05,-85.650208
0.25540185,0.059540458,0.050000001,0,0,0,0,1.2952601,0,0,0,1e-16,9.8295321e-05,-81.902954
0.27628645,0.059887499,0.050000001,0,0,0,0,1.3161476,0,0,0,1e-16,9.7314114e-05,-78.31694
0.29717356,0.060015541,0.050000001,0,0,0,0,1.3370351,0,0,0,1e-16,9.6278891e-05,-74.870605
0.31806093,0.059943911,0.050000001,0,0,0,0,1.3579226,0,0,0,1e-16,9.5202966e-05,-71.548965
0.33894685,0.059689492,0.050000001,0,0,0,0,1.3788101,0,0,0,1e-16,9.4097326e-05,-68.338707
0.35983008,0.05926723,0.050000001,0,0,0,0,1.3996976,0,0,0,1e-16,9.2971779e-05,-65.229874
0.38070962,0.058690444,0.050000001,0,0,0,0,1.4205851,0,0,0,1e-16,9.1834816e-05,-62.215881
0.40158471,0.05797084,0.050000001,0,0,0,0,1.4414726,0,0,0,1e-16,9.0692731e-05,-59.289131
0.4224548,0.057118852,0.050000001,0,0,0,0,1.4623601,0,0,0,1e-16,8.9549794e-05,-56.440804
0.44331956,0.056144092,0.050000001,0,0,0,0,1.4832476,0,0,0,1e-16,8.8410343e-05,-53.665127
0.46417865,0.05505522,0.050000001,0,0,0,0,1.5041351,0,0,0,1e-16,8.7277695e-05,-50.958183
0.48503193,0.053859979,0.050000001,0,0,0,0,1.5250226,0,0,0,1e-16,8.6154054e-05,-48.314743
0.50587922,0.052565403,0.050000001,0,0,0,0,1.54591,0,0,0,1e-16,8.504049e-05,-45.729542
0.52672058,0.051177803,0.050000001,0,0,0,0,1.5667975,0,0,0,1e-16,8.3937877e-05,-43.197617
